City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Bagdarin,54.4333,113.6,3.9,85,100,1.07,RU,1611469644
Bethel,41.3712,-73.414,21.2,45,1,13.8,US,1611469850
Mataura,-46.1927,168.8643,57.99,78,53,18.99,NZ,1611469851
Maragogi,-9.0122,-35.2225,75.94,84,94,8.01,BR,1611469852
Bluff,-46.6,168.3333,57.99,78,58,21.0,NZ,1611469675
Longyearbyen,78.2186,15.6401,15.8,67,75,9.22,SJ,1611469853
Lālmohan,22.3384,90.7419,74.52,42,4,4.12,BD,1611469854
Hithadhoo,-0.6,73.0833,82.13,68,97,5.14,MV,1611469803
Kapaa,22.0752,-159.319,73.4,94,90,16.11,US,1611469856
Hermanus,-34.4187,19.2345,66.99,79,36,12.35,ZA,1611469856
Avera,33.194,-82.5271,44.6,61,90,10.36,US,1611469857
Albany,42.6001,-73.9662,14.0,52,0,8.01,US,1611469858
Meulaboh,4.1363,96.1285,85.41,62,4,6.6,ID,1611469676
Comodoro Rivadavia,-45.8667,-67.5,55.4,76,0,2.3,AR,1611469860
Kletskaya,49.3145,43.0584,36.0,84,82,5.99,RU,1611469860
Sorong,-0.8833,131.25,84.16,67,100,6.51,ID,1611469632
Upernavik,72.7868,-56.1549,20.26,89,100,10.49,GL,1611469632
Fairview,40.8126,-73.999,26.01,46,1,13.8,US,1611469863
Rikitea,-23.1203,-134.9692,79.79,66,63,7.63,PF,1611469674
Tshikapa,-6.4167,20.8,71.06,94,100,1.59,CD,1611469864
Pevek,69.7008,170.3133,-21.42,88,46,0.83,RU,1611469865
Chokurdakh,70.6333,147.9167,-33.92,83,100,8.86,RU,1611469866
Pingliang,35.5392,106.6861,30.99,73,100,1.99,CN,1611469658
Contamana,-7.3333,-75.0167,70.81,93,90,1.07,PE,1611469868
Torbay,47.6666,-52.7314,25.0,80,75,29.93,CA,1611469869
Severiano Melo,-5.7772,-37.9578,74.93,74,98,8.57,BR,1611469870
Yumen,40.2833,97.2,27.01,75,100,23.94,CN,1611469871
Padang,-0.9492,100.3543,89.6,55,20,5.75,ID,1611469705
Atuona,-9.8,-139.0333,77.63,78,0,17.27,PF,1611469873
Teluknaga,-6.0989,106.6381,82.0,88,75,2.3,ID,1611469874
Mahébourg,-20.4081,57.7,84.2,70,75,6.91,MU,1611469660
Port Elizabeth,-33.918,25.5701,62.6,100,75,16.11,ZA,1611469875
Waipawa,-41.4122,175.5153,64.4,72,80,27.63,NZ,1611469876
Faya,18.3851,42.4509,60.8,38,89,2.46,SA,1611469877
Turukhansk,65.8167,87.9833,-34.22,77,30,5.77,RU,1611469879
Coquimbo,-29.9533,-71.3436,60.8,88,0,3.44,CL,1611469880
